Date,Ciudad,NO (Ąg/m3),NO2 (Ąg/m3),NOX (Ąg/m3),PM10 (Ąg/m3),tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres
2015-01-01,BILBAO,31.0,51.0,99.0,17.0,6.0,-1.3,16.0,0.0,,147.8,10.1,31.6,1023.1
2015-01-02,BILBAO,63.0,65.0,162.0,17.0,6.6,-0.9,15.8,0.0,,147.8,10.1,31.6,1023.1
2015-01-03,BILBAO,46.0,56.0,126.0,28.0,7.7,0.3,15.2,0.0,,147.8,10.1,31.6,1023.1
2015-01-04,BILBAO,18.0,43.0,70.0,21.0,11.3,7.3,13.7,0.0,,147.8,10.1,31.6,1023.1
2015-01-05,BILBAO,51.0,54.0,132.0,26.0,8.7,3.4,18.0,0.0,,147.8,10.1,31.6,1023.1
2015-01-06,BILBAO,22.0,42.0,74.0,23.0,9.7,6.0,11.8,0.0,,147.8,10.1,31.6,1023.1
2015-01-07,BILBAO,37.0,50.0,106.0,24.0,9.0,3.1,16.9,0.0,,147.8,10.1,31.6,1023.1
2015-01-08,BILBAO,67.0,64.0,167.0,31.0,9.7,2.5,15.0,0.0,,147.8,10.1,31.6,1023.1
2015-01-09,BILBAO,65.0,60.0,159.0,33.0,10.8,4.4,20.1,0.0,,147.8,10.1,31.6,1023.1
2015-01-10,BILBAO,28.0,41.0,84.0,29.0,10.1,4.5,12.9,1.2,,147.8,10.1,31.6,1023.1
2015-01-11,BILBAO,6.0,28.0,37.0,18.0,10.6,4.8,13.4,1.4,,147.8,10.1,31.6,1023.1
2015-01-12,BILBAO,8.0,32.0,44.0,8.0,11.7,1.8,17.8,0.0,,147.8,10.1,31.6,1023.1
2015-01-13,BILBAO,4.0,18.0,24.0,8.0,13.8,10.7,16.9,0.0,,147.8,10.1,31.6,1023.1
2015-01-14,BILBAO,16.0,29.0,53.0,11.0,11.8,5.3,16.0,0.0,,147.8,10.1,31.6,1023.1
2015-01-15,BILBAO,4.0,20.0,26.0,9.0,13.7,8.0,15.9,6.5,,147.8,10.1,31.6,1023.1
2015-01-16,BILBAO,5.0,30.0,37.0,8.0,8.1,5.3,10.6,7.7,,147.8,10.1,31.6,1023.1
2015-01-17,BILBAO,8.0,32.0,43.0,13.0,8.1,4.3,12.0,0.2,,147.8,10.1,31.6,1023.1
2015-01-18,BILBAO,3.0,17.0,22.0,4.0,9.3,5.4,12.8,10.5,,147.8,10.1,31.6,1023.1
2015-01-19,BILBAO,5.0,26.0,33.0,16.0,7.8,2.8,10.4,3.1,,147.8,10.1,31.6,1023.1
2015-01-20,BILBAO,12.0,38.0,56.0,8.0,6.4,3.2,9.3,4.6,,147.8,10.1,31.6,1023.1
2015-01-21,BILBAO,6.0,28.0,37.0,8.0,6.9,5.0,8.8,12.5,,147.8,10.1,31.6,1023.1
2015-01-22,BILBAO,7.0,32.0,42.0,15.0,7.7,2.6,9.8,15.4,,147.8,10.1,31.6,1023.1
2015-01-23,BILBAO,26.0,46.0,86.0,17.0,6.6,1.5,10.3,0.0,,147.8,10.1,31.6,1023.1
2015-01-24,BILBAO,15.0,33.0,57.0,19.0,6.1,0.0,10.7,2.4,,147.8,10.1,31.6,1023.1
2015-01-25,BILBAO,11.0,37.0,54.0,26.0,6.8,3.6,11.2,0.0,,147.8,10.1,31.6,1023.1
2015-01-26,BILBAO,38.0,53.0,111.0,30.0,8.2,4.4,10.0,5.6,,147.8,10.1,31.6,1023.1
2015-01-27,BILBAO,7.0,41.0,51.0,19.0,9.7,7.3,10.8,4.2,,147.8,10.1,31.6,1023.1
2015-01-28,BILBAO,12.0,41.0,59.0,12.0,10.2,7.2,12.4,0.3,,147.8,10.1,31.6,1023.1
